2026-02-26 21:51:23,042 | INFO | app.pipeline.scan_pipeline | OHLCV TLH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,042 | INFO | app.pipeline.scan_pipeline | OHLCV TMP: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,047 | INFO | app.pipeline.scan_pipeline | OHLCV TMS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,048 | INFO | app.pipeline.scan_pipeline | OHLCV TNG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,050 | INFO | app.pipeline.scan_pipeline | OHLCV TPB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,051 | INFO | app.pipeline.scan_pipeline | OHLCV TVB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,052 | INFO | app.pipeline.scan_pipeline | OHLCV TVS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,053 | INFO | app.pipeline.scan_pipeline | OHLCV VC2: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,054 | INFO | app.pipeline.scan_pipeline | OHLCV VCB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,055 | INFO | app.pipeline.scan_pipeline | OHLCV VCG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,057 | INFO | app.pipeline.scan_pipeline | OHLCV VCI: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,058 | INFO | app.pipeline.scan_pipeline | OHLCV VCS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,059 | INFO | app.pipeline.scan_pipeline | OHLCV VDS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,060 | INFO | app.pipeline.scan_pipeline | OHLCV VFS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,061 | INFO | app.pipeline.scan_pipeline | OHLCV VGC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,062 | INFO | app.pipeline.scan_pipeline | OHLCV VGS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,064 | INFO | app.pipeline.scan_pipeline | OHLCV VHC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,065 | INFO | app.pipeline.scan_pipeline | OHLCV VHM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,069 | INFO | app.pipeline.scan_pipeline | OHLCV VIB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,069 | INFO | app.pipeline.scan_pipeline | OHLCV VIC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,069 | INFO | app.pipeline.scan_pipeline | OHLCV VIG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,071 | INFO | app.pipeline.scan_pipeline | OHLCV VIX: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,072 | INFO | app.pipeline.scan_pipeline | OHLCV VJC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,074 | INFO | app.pipeline.scan_pipeline | OHLCV VMC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,075 | INFO | app.pipeline.scan_pipeline | OHLCV VND: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,075 | INFO | app.pipeline.scan_pipeline | OHLCV VNE: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,076 | INFO | app.pipeline.scan_pipeline | OHLCV VNM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,077 | INFO | app.pipeline.scan_pipeline | OHLCV VNR: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,077 | INFO | app.pipeline.scan_pipeline | OHLCV VOS: rows=249 range=2025-02-26..2026-02-26
